WEATHER.windDirection,WEATHER.windRelativeDirection,WEATHER.windSpeed [MPH],WEATHER.maxWindSpeed [MPH],WEATHER.windStrength,WEATHER.isFacingWind,WEATHER.isFlyingIntoWind,TimeStamp
,,,,Calm,False,False,2023-11-01:12:40:31
,,,,Calm,False,False,2023-11-01:12:40:31
,,,,Calm,False,False,2023-11-01:12:40:31
,,,,Calm,False,False,2023-11-01:12:40:31
,,,,Calm,False,False,2023-11-01:12:40:31
,,,,Calm,False,False,2023-11-01:12:40:31
,,,,Calm,False,False,2023-11-01:12:40:31
,,,,Calm,False,False,2023-11-01:12:40:31
,,,,Calm,False,False,2023-11-01:12:40:31
,,,,Calm,False,False,2023-11-01:12:40:31
,,,,Calm,False,False,2023-11-01:12:40:32
,,,,Calm,False,False,2023-11-01:12:40:32
,,,,Calm,False,False,2023-11-01:12:40:32
,,,,Calm,False,False,2023-11-01:12:40:32
,,,,Calm,False,False,2023-11-01:12:40:32
,,,,Calm,False,False,2023-11-01:12:40:32
,,,,Calm,False,False,2023-11-01:12:40:32
,,,,Calm,False,False,2023-11-01:12:40:32
,,,,Calm,False,False,2023-11-01:12:40:32
,,,,Calm,False,False,2023-11-01:12:40:32
,,,,Calm,False,False,2023-11-01:12:40:33
,,,,Calm,False,False,2023-11-01:12:40:33
,,,,Calm,False,False,2023-11-01:12:40:33
,,,,Calm,False,False,2023-11-01:12:40:33
,,,,Calm,False,False,2023-11-01:12:40:33
,,,,Calm,False,False,2023-11-01:12:40:33
,,,,Calm,False,False,2023-11-01:12:40:33
,,,,Calm,False,False,2023-11-01:12:40:33
,,,,Calm,False,False,2023-11-01:12:40:33
,,,,Calm,False,False,2023-11-01:12:40:33
,,,,Calm,False,False,2023-11-01:12:40:34
,,,,Calm,False,False,2023-11-01:12:40:34
,,,,Calm,False,False,2023-11-01:12:40:34
,,,,Calm,False,False,2023-11-01:12:40:34
,,,,Calm,False,False,2023-11-01:12:40:34
,,,,Calm,False,False,2023-11-01:12:40:34
,,,,Calm,False,False,2023-11-01:12:40:34
,,,,Calm,False,False,2023-11-01:12:40:34
,,,,Calm,False,False,2023-11-01:12:40:34
,,,,Calm,False,False,2023-11-01:12:40:34
,,,,Calm,False,False,2023-11-01:12:40:35
,,,,Calm,False,False,2023-11-01:12:40:35
,,,,Calm,False,False,2023-11-01:12:40:35
,,,,Calm,False,False,2023-11-01:12:40:35
,,,,Calm,False,False,2023-11-01:12:40:35
,,,,Calm,False,False,2023-11-01:12:40:35
,,,,Calm,False,False,2023-11-01:12:40:35
,,,,Calm,False,False,2023-11-01:12:40:35
,,,,Calm,False,False,2023-11-01:12:40:35
,,,,Calm,False,False,2023-11-01:12:40:35
,,,,Calm,False,False,2023-11-01:12:40:36
,,,,Calm,False,False,2023-11-01:12:40:36
,,,,Calm,False,False,2023-11-01:12:40:36
,,,,Calm,False,False,2023-11-01:12:40:36
,,,,Calm,False,False,2023-11-01:12:40:36
,,,,Calm,False,False,2023-11-01:12:40:36
,,,,Calm,False,False,2023-11-01:12:40:36
,,,,Calm,False,False,2023-11-01:12:40:36
,,,,Calm,False,False,2023-11-01:12:40:36
,,,,Calm,False,False,2023-11-01:12:40:36
,,,,Calm,False,False,2023-11-01:12:40:37
,,,,Calm,False,False,2023-11-01:12:40:37
,,,,Calm,False,False,2023-11-01:12:40:37
,,,,Calm,False,False,2023-11-01:12:40:37
,,,,Calm,False,False,2023-11-01:12:40:37
,,,,Calm,False,False,2023-11-01:12:40:37
,,,,Calm,False,False,2023-11-01:12:40:37
,,,,Calm,False,False,2023-11-01:12:40:37
,,,,Calm,False,False,2023-11-01:12:40:37
,,,,Calm,False,False,2023-11-01:12:40:37aa
,,,,Calm,False,False,2023-11-01:12:40:38
,,,,Calm,False,False,2023-11-01:12:40:38
,,,,Calm,False,False,2023-11-01:12:40:38
,,,,Calm,False,False,2023-11-01:12:40:38
,,,,Calm,False,False,2023-11-01:12:40:38
,,,,Calm,False,False,2023-11-01:12:40:38
,,,,Calm,False,False,2023-11-01:12:40:38
,,,,Calm,False,False,2023-11-01:12:40:38
,,,,Calm,False,False,2023-11-01:12:40:38
,,,,Calm,False,False,2023-11-01:12:40:38
,,,,Calm,False,False,2023-11-01:12:40:39
,,,,Calm,False,False,2023-11-01:12:40:39
,,,,Calm,False,False,2023-11-01:12:40:39
,,,,Calm,False,False,2023-11-01:12:40:39
,,,,Calm,False,False,2023-11-01:12:40:39
,,,,Calm,False,False,2023-11-01:12:40:39
NE,S,0.22,0.22,Calm,False,False,2023-11-01:12:40:39
NE,S,0.22,0.22,Calm,False,False,2023-11-01:12:40:39
NE,S,0.22,0.22,Calm,False,False,2023-11-01:12:40:39
NE,S,0.22,0.22,Calm,False,False,2023-11-01:12:40:39
NE,S,0.22,0.22,Calm,False,False,2023-11-01:12:40:40
NE,S,0.22,0.22,Calm,False,False,2023-11-01:12:40:40
NE,S,0.22,0.22,Calm,False,False,2023-11-01:12:40:40
NE,S,0.22,0.22,Calm,False,False,2023-11-01:12:40:40
NE,S,0.22,0.22,Calm,False,False,2023-11-01:12:40:40
NE,S,0.22,0.22,Calm,False,False,2023-11-01:12:40:40
NE,S,0.22,0.22,Calm,False,False,2023-11-01:12:40:40
NE,S,0.44,0.44,Calm,False,False,2023-11-01:12:40:40
NE,S,0.44,0.44,Calm,False,False,2023-11-01:12:40:40
NE,S,0.44,0.44,Calm,False,False,2023-11-01:12:40:40
NE,S,0.44,0.44,Calm,False,True,2023-11-01:12:40:41
NE,S,0.44,0.44,Calm,False,False,2023-11-01:12:40:41
NE,S,0.44,0.44,Calm,False,False,2023-11-01:12:40:41
NE,S,0.67,0.67,Calm,False,False,2023-11-01:12:40:41
NE,S,0.67,0.67,Calm,False,False,2023-11-01:12:40:41
NE,S,0.67,0.67,Calm,False,False,2023-11-01:12:40:41
NE,S,0.67,0.67,Calm,False,False,2023-11-01:12:40:41
NE,S,0.67,0.67,Calm,False,False,2023-11-01:12:40:41
NE,S,0.89,0.89,Calm,False,True,2023-11-01:12:40:41
NE,S,0.89,0.89,Calm,False,False,2023-11-01:12:40:41
NE,S,0.89,0.89,Calm,False,False,2023-11-01:12:40:42
NE,S,0.89,0.89,Calm,False,False,2023-11-01:12:40:42
NE,S,0.89,0.89,Calm,False,True,2023-11-01:12:40:42
NE,S,0.89,0.89,Calm,False,False,2023-11-01:12:40:42
NE,S,1.11,1.11,Calm,False,True,2023-11-01:12:40:42
NE,S,1.11,1.11,Calm,False,False,2023-11-01:12:40:42
NE,S,1.11,1.11,Calm,False,True,2023-11-01:12:40:42
NE,S,1.11,1.11,Calm,False,False,2023-11-01:12:40:42
NE,S,1.11,1.11,Calm,False,True,2023-11-01:12:40:42
