WEATHER.windDirection,WEATHER.windRelativeDirection,WEATHER.windSpeed [MPH],WEATHER.maxWindSpeed [MPH],WEATHER.windStrength,WEATHER.isFacingWind,WEATHER.isFlyingIntoWind,TimeStamp
SW,S,0.22,0.22,Calm,False,False,2023-11-01:10:58:00
SW,S,0.22,0.22,Calm,False,True,2023-11-01:10:58:00
SW,S,0.22,0.22,Calm,False,False,2023-11-01:10:58:00
SW,S,0.22,0.22,Calm,False,True,2023-11-01:10:58:00
SW,S,0.44,0.44,Calm,False,True,2023-11-01:10:58:01
SW,S,0.44,0.44,Calm,False,True,2023-11-01:10:58:01
SW,S,0.44,0.44,Calm,False,False,2023-11-01:10:58:01
SW,S,0.44,0.44,Calm,False,True,2023-11-01:10:58:01
SW,S,0.44,0.44,Calm,False,True,2023-11-01:10:58:01
SW,S,0.44,0.44,Calm,False,True,2023-11-01:10:58:01
SW,S,0.44,0.44,Calm,False,False,2023-11-01:10:58:01
SW,S,0.44,0.44,Calm,False,True,2023-11-01:10:58:01
SW,S,0.44,0.44,Calm,False,False,2023-11-01:10:58:01
SW,S,0.44,0.44,Calm,False,True,2023-11-01:10:58:01
SW,S,0.44,0.44,Calm,False,True,2023-11-01:10:58:02
SW,S,0.67,0.67,Calm,False,True,2023-11-01:10:58:02
SW,S,0.67,0.67,Calm,False,False,2023-11-01:10:58:02
SW,S,0.67,0.67,Calm,False,False,2023-11-01:10:58:02
SW,S,0.67,0.67,Calm,False,False,2023-11-01:10:58:02
SW,S,0.67,0.67,Calm,False,False,2023-11-01:10:58:02
SW,S,0.67,0.67,Calm,False,False,2023-11-01:10:58:02
SW,S,0.67,0.67,Calm,False,False,2023-11-01:10:58:02
SW,S,0.67,0.67,Calm,False,True,2023-11-01:10:58:02
SW,S,0.67,0.67,Calm,False,False,2023-11-01:10:58:02
SW,S,0.67,0.67,Calm,False,False,2023-11-01:10:58:03
SW,S,0.67,0.67,Calm,False,False,2023-11-01:10:58:03
SW,S,0.67,0.67,Calm,False,True,2023-11-01:10:58:03
SW,S,0.67,0.67,Calm,False,False,2023-11-01:10:58:03
SW,S,0.67,0.67,Calm,False,True,2023-11-01:10:58:03
SW,S,0.67,0.67,Calm,False,True,2023-11-01:10:58:03
SW,S,0.67,0.67,Calm,False,False,2023-11-01:10:58:03
SW,S,0.67,0.67,Calm,False,True,2023-11-01:10:58:03
SW,S,0.67,0.67,Calm,False,False,2023-11-01:10:58:03
SW,S,0.67,0.67,Calm,False,True,2023-11-01:10:58:03
SW,S,0.67,0.67,Calm,False,True,2023-11-01:10:58:04
SW,S,0.67,0.67,Calm,False,False,2023-11-01:10:58:04
SW,S,0.67,0.67,Calm,False,False,2023-11-01:10:58:04
SW,S,0.67,0.67,Calm,False,False,2023-11-01:10:58:04
SW,S,0.67,0.67,Calm,False,True,2023-11-01:10:58:04
SW,S,0.67,0.67,Calm,False,False,2023-11-01:10:58:04
SW,S,0.67,0.67,Calm,False,True,2023-11-01:10:58:04
SW,S,0.67,0.67,Calm,False,False,2023-11-01:10:58:04
SW,S,0.67,0.67,Calm,False,False,2023-11-01:10:58:04
SW,S,0.67,0.67,Calm,False,False,2023-11-01:10:58:04
SW,S,0.67,0.67,Calm,False,True,2023-11-01:10:58:05
SW,S,0.67,0.67,Calm,False,False,2023-11-01:10:58:05
SW,S,0.67,0.67,Calm,False,False,2023-11-01:10:58:05
SW,S,0.67,0.67,Calm,False,False,2023-11-01:10:58:05
SW,S,0.67,0.67,Calm,False,True,2023-11-01:10:58:05
SW,S,0.67,0.67,Calm,False,False,2023-11-01:10:58:05
S,SE,0.67,0.67,Calm,False,False,2023-11-01:10:58:05
S,SE,0.67,0.67,Calm,False,False,2023-11-01:10:58:05
S,SE,0.67,0.67,Calm,False,False,2023-11-01:10:58:05
S,SE,0.89,0.89,Calm,False,False,2023-11-01:10:58:05
S,SE,0.89,0.89,Calm,False,False,2023-11-01:10:58:06
S,SE,0.89,0.89,Calm,False,False,2023-11-01:10:58:06
S,SE,0.89,0.89,Calm,False,True,2023-11-01:10:58:06
S,SE,0.89,0.89,Calm,False,False,2023-11-01:10:58:06
S,SE,0.89,0.89,Calm,False,False,2023-11-01:10:58:06
S,SE,0.89,0.89,Calm,False,False,2023-11-01:10:58:06
S,SE,0.89,0.89,Calm,False,True,2023-11-01:10:58:06
S,SE,0.89,0.89,Calm,False,True,2023-11-01:10:58:06
S,SE,0.89,0.89,Calm,False,False,2023-11-01:10:58:06
S,SE,0.89,0.89,Calm,False,True,2023-11-01:10:58:06
S,SE,0.89,0.89,Calm,False,True,2023-11-01:10:58:07
S,SE,0.89,0.89,Calm,False,True,2023-11-01:10:58:07
S,SE,0.89,0.89,Calm,False,False,2023-11-01:10:58:07
S,SE,0.89,0.89,Calm,False,True,2023-11-01:10:58:07
S,SE,1.11,1.11,Calm,False,True,2023-11-01:10:58:07
S,SE,1.11,1.11,Calm,False,False,2023-11-01:10:58:07
S,SE,1.11,1.11,Calm,False,False,2023-11-01:10:58:07
S,SE,1.11,1.11,Calm,False,False,2023-11-01:10:58:07
S,SE,1.11,1.11,Calm,False,False,2023-11-01:10:58:07
S,SE,1.11,1.11,Calm,False,False,2023-11-01:10:58:07
S,SE,1.11,1.11,Calm,False,False,2023-11-01:10:58:08
S,SE,1.11,1.11,Calm,False,False,2023-11-01:10:58:08
S,SE,1.11,1.11,Calm,False,False,2023-11-01:10:58:08
S,SE,1.11,1.11,Calm,False,False,2023-11-01:10:58:08
S,SE,1.11,1.11,Calm,False,False,2023-11-01:10:58:08
S,SE,1.11,1.11,Calm,False,False,2023-11-01:10:58:08
S,SE,1.11,1.11,Calm,False,False,2023-11-01:10:58:08
S,SE,1.11,1.11,Calm,False,False,2023-11-01:10:58:08
S,SE,1.11,1.11,Calm,False,False,2023-11-01:10:58:08
S,SE,1.11,1.11,Calm,False,False,2023-11-01:10:58:08
S,SE,1.11,1.11,Calm,False,False,2023-11-01:10:58:09
S,SE,1.11,1.11,Calm,False,False,2023-11-01:10:58:09
S,SE,1.11,1.11,Calm,False,False,2023-11-01:10:58:09
S,SE,1.11,1.11,Calm,False,False,2023-11-01:10:58:09
S,E,1.11,1.11,Calm,False,False,2023-11-01:10:58:09
S,E,1.11,1.11,Calm,False,False,2023-11-01:10:58:09
S,E,1.11,1.11,Calm,False,False,2023-11-01:10:58:09
S,E,1.11,1.11,Calm,False,False,2023-11-01:10:58:09
S,E,1.11,1.11,Calm,False,False,2023-11-01:10:58:09
S,E,1.34,1.34,Calm,False,False,2023-11-01:10:58:09
S,E,1.34,1.34,Calm,False,False,2023-11-01:10:58:10
S,E,1.34,1.34,Calm,False,False,2023-11-01:10:58:10
S,E,1.34,1.34,Calm,False,False,2023-11-01:10:58:10
S,E,1.34,1.34,Calm,False,False,2023-11-01:10:58:10
S,E,1.34,1.34,Calm,False,False,2023-11-01:10:58:10
S,E,1.34,1.34,Calm,False,False,2023-11-01:10:58:10
S,E,1.34,1.34,Calm,False,False,2023-11-01:10:58:10
S,E,1.34,1.34,Calm,False,False,2023-11-01:10:58:10
S,E,1.34,1.34,Calm,False,False,2023-11-01:10:58:10
S,E,1.34,1.34,Calm,False,False,2023-11-01:10:58:10
S,E,1.11,1.34,Calm,False,False,2023-11-01:10:58:11
S,E,1.11,1.34,Calm,False,False,2023-11-01:10:58:11
S,E,1.11,1.34,Calm,False,False,2023-11-01:10:58:11
S,E,1.11,1.34,Calm,False,False,2023-11-01:10:58:11
S,E,1.11,1.34,Calm,False,False,2023-11-01:10:58:11
S,E,1.11,1.34,Calm,False,False,2023-11-01:10:58:11
S,E,1.11,1.34,Calm,False,False,2023-11-01:10:58:11
S,E,1.11,1.34,Calm,False,False,2023-11-01:10:58:11
S,E,1.11,1.34,Calm,False,False,2023-11-01:10:58:11
S,E,1.11,1.34,Calm,False,False,2023-11-01:10:58:11
S,E,1.11,1.34,Calm,False,False,2023-11-01:10:58:12
S,E,1.11,1.34,Calm,False,False,2023-11-01:10:58:12
S,E,1.11,1.34,Calm,False,False,2023-11-01:10:58:12
S,E,1.11,1.34,Calm,False,False,2023-11-01:10:58:12
S,E,1.11,1.34,Calm,False,False,2023-11-01:10:58:12
S,E,1.11,1.34,Calm,False,False,2023-11-01:10:58:12
S,E,1.11,1.34,Calm,False,False,2023-11-01:10:58:12
S,E,1.11,1.34,Calm,False,False,2023-11-01:10:58:12
S,E,1.11,1.34,Calm,False,False,2023-11-01:10:58:12
S,E,1.11,1.34,Calm,False,False,2023-11-01:10:58:12
S,E,1.11,1.34,Calm,False,False,2023-11-01:10:58:13
S,E,0.89,1.34,Calm,False,False,2023-11-01:10:58:13
S,E,0.89,1.34,Calm,False,False,2023-11-01:10:58:13
S,E,0.89,1.34,Calm,False,False,2023-11-01:10:58:13
S,E,0.89,1.34,Calm,False,False,2023-11-01:10:58:13
S,E,0.89,1.34,Calm,False,False,2023-11-01:10:58:13
S,E,0.89,1.34,Calm,False,False,2023-11-01:10:58:13
S,E,0.89,1.34,Calm,False,False,2023-11-01:10:58:13
S,E,0.89,1.34,Calm,False,False,2023-11-01:10:58:13
S,E,0.89,1.34,Calm,False,False,2023-11-01:10:58:13
S,E,0.89,1.34,Calm,False,False,2023-11-01:10:58:14
S,E,0.89,1.34,Calm,False,False,2023-11-01:10:58:14
S,E,0.89,1.34,Calm,False,False,2023-11-01:10:58:14
S,E,0.89,1.34,Calm,False,False,2023-11-01:10:58:14
S,E,0.89,1.34,Calm,False,False,2023-11-01:10:58:14
S,E,0.89,1.34,Calm,False,False,2023-11-01:10:58:14
S,E,0.89,1.34,Calm,False,False,2023-11-01:10:58:14
S,E,0.89,1.34,Calm,False,False,2023-11-01:10:58:14
S,E,0.89,1.34,Calm,False,False,2023-11-01:10:58:14
S,E,0.89,1.34,Calm,False,False,2023-11-01:10:58:14
S,E,0.89,1.34,Calm,False,False,2023-11-01:10:58:15
S,E,0.89,1.34,Calm,False,False,2023-11-01:10:58:15
S,E,0.89,1.34,Calm,False,False,2023-11-01:10:58:15
S,E,0.89,1.34,Calm,False,False,2023-11-01:10:58:15
S,E,0.89,1.34,Calm,False,False,2023-11-01:10:58:15
S,E,0.89,1.34,Calm,False,False,2023-11-01:10:58:15
S,E,0.89,1.34,Calm,False,False,2023-11-01:10:58:15
SW,SE,0.89,1.34,Calm,False,False,2023-11-01:10:58:15
SW,SE,0.89,1.34,Calm,False,False,2023-11-01:10:58:15
SW,SE,0.89,1.34,Calm,False,False,2023-11-01:10:58:15
SW,SE,0.67,1.34,Calm,False,False,2023-11-01:10:58:16
SW,SE,0.67,1.34,Calm,False,False,2023-11-01:10:58:16
SW,SE,0.67,1.34,Calm,False,False,2023-11-01:10:58:16
SW,SE,0.67,1.34,Calm,False,False,2023-11-01:10:58:16
SW,SE,0.67,1.34,Calm,False,False,2023-11-01:10:58:16
SW,SE,0.67,1.34,Calm,False,False,2023-11-01:10:58:16
SW,SE,0.67,1.34,Calm,False,False,2023-11-01:10:58:16
SW,SE,0.67,1.34,Calm,False,False,2023-11-01:10:58:16
SW,SE,0.67,1.34,Calm,False,False,2023-11-01:10:58:16
SW,SE,0.67,1.34,Calm,False,False,2023-11-01:10:58:16
SW,SE,0.67,1.34,Calm,False,False,2023-11-01:10:58:17
SW,SE,0.67,1.34,Calm,False,False,2023-11-01:10:58:17
SW,SE,0.67,1.34,Calm,False,False,2023-11-01:10:58:17
SW,SE,0.67,1.34,Calm,False,False,2023-11-01:10:58:17
SW,SE,0.67,1.34,Calm,False,True,2023-11-01:10:58:17
SW,SE,0.67,1.34,Calm,False,False,2023-11-01:10:58:17
SW,SE,0.67,1.34,Calm,False,False,2023-11-01:10:58:17
SW,SE,0.67,1.34,Calm,False,False,2023-11-01:10:58:17
SW,SE,0.67,1.34,Calm,False,False,2023-11-01:10:58:17
SW,SE,0.44,1.34,Calm,False,False,2023-11-01:10:58:17
SW,SE,0.44,1.34,Calm,False,False,2023-11-01:10:58:18
SW,SE,0.44,1.34,Calm,False,False,2023-11-01:10:58:18
SW,SE,0.44,1.34,Calm,False,False,2023-11-01:10:58:18
SW,SE,0.44,1.34,Calm,False,False,2023-11-01:10:58:18
SW,SE,0.44,1.34,Calm,False,False,2023-11-01:10:58:18
SW,SE,0.44,1.34,Calm,False,False,2023-11-01:10:58:18
SW,SE,0.44,1.34,Calm,False,True,2023-11-01:10:58:18
SW,SE,0.44,1.34,Calm,False,False,2023-11-01:10:58:18
SW,SE,0.44,1.34,Calm,False,False,2023-11-01:10:58:18
SW,SE,0.44,1.34,Calm,False,False,2023-11-01:10:58:18
SW,SE,0.44,1.34,Calm,False,False,2023-11-01:10:58:19
SW,SE,0.44,1.34,Calm,False,False,2023-11-01:10:58:19
SW,SE,0.44,1.34,Calm,False,False,2023-11-01:10:58:19
SW,SE,0.44,1.34,Calm,False,False,2023-11-01:10:58:19
SW,SE,0.44,1.34,Calm,False,False,2023-11-01:10:58:19
SW,SE,0.44,1.34,Calm,False,False,2023-11-01:10:58:19
SW,SE,0.44,1.34,Calm,False,True,2023-11-01:10:58:19
SW,SE,0.44,1.34,Calm,False,False,2023-11-01:10:58:19
SW,SE,0.22,1.34,Calm,False,False,2023-11-01:10:58:19
SW,SE,0.22,1.34,Calm,False,False,2023-11-01:10:58:19
SW,SE,0.22,1.34,Calm,False,False,2023-11-01:10:58:20
SW,SE,0.44,1.34,Calm,False,False,2023-11-01:10:58:20
SW,SE,0.44,1.34,Calm,False,False,2023-11-01:10:58:20
SW,SE,0.44,1.34,Calm,False,False,2023-11-01:10:58:20
SW,SE,0.44,1.34,Calm,False,True,2023-11-01:10:58:20
SW,SE,0.44,1.34,Calm,False,False,2023-11-01:10:58:20
SW,SE,0.44,1.34,Calm,False,False,2023-11-01:10:58:20
SW,SE,0.44,1.34,Calm,False,False,2023-11-01:10:58:20
SW,SE,0.44,1.34,Calm,False,True,2023-11-01:10:58:20
